,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
774,Maldini Kacurri,DEF,Arsenal,0.0,0,0,0,0,0.0,657,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,5776,0,2,2,0.0,0,-40,0,40,40,False,0
775,Adam Armstrong,FWD,Southampton,0.0,0,0,0,0,0.0,453,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,36,0,58196,0,0,0,0.0,0,-447,0,447,51,True,0
776,Aaron Cresswell,DEF,West Ham,1.8,0,0,28,1,15.3,517,0.18,0.18,0.0,2.28,355,0,0,2.6,10.4,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,36,0,197011,1,2,0,0.0,5,-5088,1247,6335,39,False,1
777,Emil Krafth,DEF,Newcastle,1.1,0,0,0,0,0.8,405,0.01,0.01,0.0,0.14,356,0,0,0.3,2.4,2025-05-11T11:00:00Z,25,0,0,0,0,0,0,0,False,6,0,0,0,0,36,0,9990,0,0,2,0.0,0,-28,34,62,43,True,1
778,Jack Porter,GK,Arsenal,0.0,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,1541,0,2,2,0.0,0,43,89,46,40,False,0
779,Jakub Kiwior,DEF,Arsenal,3.8,0,0,7,0,1.2,8,0.01,0.01,0.0,2.56,354,2,0,1.6,14.4,2025-05-11T15:30:00Z,90,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,237274,1,2,2,0.0,1,-16527,6652,23179,48,False,0
780,Kristoffer Ajer,DEF,Brentford,0.7,0,0,0,0,0.0,86,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,36,0,24391,0,1,0,0.0,0,61,585,524,44,False,0
781,Will Hughes,MID,Crystal Palace,1.6,0,0,13,1,41.4,203,0.28,0.32,0.04,0.58,359,0,0,5.3,10.0,2025-05-11T13:15:00Z,86,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,4982,1,2,0,2.0,3,-48,63,111,49,False,0
782,David Ozoh,MID,Crystal Palace,0.0,0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,108,0,2,0,0.0,0,0,0,0,45,False,0
783,Benjamin Fredrick,DEF,Brentford,0.5,0,0,0,0,0.0,786,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,36,0,481,0,1,0,0.0,0,12,31,19,40,False,0
