,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
595,Mykhailo Mudryk,MID,Chelsea,0.0,0,0,0,0,0.0,179,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2024-12-08T16:30:00Z,0,False,18,0,0,0,0,15,0,25118,0,4,3,0.0,0,-829,326,1155,62,False,0
596,Imari Samuels,DEF,Brighton,0.0,0,0,0,0,0.0,663,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,11,0,0,0,0,15,0,4017,0,2,2,0.0,0,50,211,161,40,False,0
597,Hamed Traorè,MID,Bournemouth,0.0,0,0,0,0,0.0,67,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,10,0,0,0,0,15,0,6213,0,2,1,0.0,0,-176,0,176,45,False,0
598,Stefan Ortega Moreno,GK,Man City,3.5,0,0,6,0,0.0,358,0.0,0.0,0.0,1.34,143,2,0,1.2,12.4,2024-12-07T15:00:00Z,90,False,7,0,0,0,0,15,1,64479,1,2,2,0.0,1,5284,6699,1415,52,False,0
599,Renato Palma Veiga,MID,Chelsea,0.5,0,0,2,0,0.0,184,0.0,0.0,0.0,0.88,149,1,0,0.0,0.0,2024-12-08T16:30:00Z,1,False,18,0,0,0,0,15,0,20125,0,4,3,0.0,1,-828,296,1124,45,False,0
600,Eberechi Eze,MID,Crystal Palace,1.5,0,0,6,0,12.5,199,0.0,0.18,0.18,1.23,143,2,0,2.4,3.4,2024-12-07T15:00:00Z,71,False,13,0,0,0,0,15,0,832024,1,2,2,8.0,2,-8777,11810,20587,66,True,0
601,Samuel Iling-Junior,MID,Aston Villa,0.0,0,0,0,0,0.0,41,0.0,0.0,0.0,0.0,141,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,17,0,0,0,0,15,0,2385,0,0,1,0.0,0,-19,0,19,54,True,0
602,Boubacar Kamara,MID,Aston Villa,2.3,0,0,15,1,12.5,42,0.02,0.02,0.0,0.33,141,0,0,2.9,14.4,2024-12-07T15:00:00Z,90,False,17,0,0,0,0,15,0,2022,1,0,1,2.0,3,258,435,177,50,True,0
603,Ali Al-Hamadi,FWD,Ipswich,0.8,0,0,4,0,0.0,260,0.0,0.0,0.0,1.42,146,2,0,0.0,0.2,2024-12-08T14:00:00Z,9,False,3,0,0,0,0,15,0,33901,0,2,1,0.0,1,50,1856,1806,48,True,0
604,Willy Boly,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2024-12-07T17:30:00Z,0,False,14,0,0,0,0,15,0,13638,0,3,2,0.0,0,-108,287,395,42,False,0
605,Carlos Alcaraz Durán,MID,Southampton,0.0,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,141,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,2,0,0,0,0,15,0,2444,0,0,1,0.0,0,-36,0,36,49,False,0
606,Victor Lindelöf,DEF,Man Utd,0.0,0,0,0,0,0.0,376,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2024-12-07T17:30:00Z,0,False,16,0,0,0,0,15,0,8312,0,3,2,0.0,0,-246,16,262,43,True,0
607,Samuel Amissah,DEF,Fulham,-1.0,0,0,0,0,0.0,690,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,1,0,0,0,0,15,0,516,0,1,1,0.0,0,139,184,45,40,True,0
608,Ross Barkley,MID,Aston Villa,3.5,0,0,6,0,21.2,29,0.07,0.53,0.46,0.1,141,0,0,4.0,7.6,2024-12-07T15:00:00Z,31,False,17,0,0,0,0,15,0,33763,0,0,1,11.0,1,-48,1124,1172,52,True,0
609,Kobbie Mainoo,MID,Man Utd,1.0,0,0,16,0,27.0,378,0.06,0.06,0.0,0.83,148,3,0,4.3,9.6,2024-12-07T17:30:00Z,90,False,16,0,0,0,0,15,0,219825,1,3,2,6.0,2,-1888,1724,3612,52,True,0
610,Ramón Sosa,MID,Nott'm Forest,0.8,0,0,0,0,0.0,620,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2024-12-07T17:30:00Z,0,False,14,0,0,0,0,15,0,4447,0,3,2,0.0,0,-138,95,233,55,False,0
611,Sander Berge,MID,Fulham,0.8,0,2,22,0,10.6,622,0.0,0.0,0.0,2.03,145,1,0,3.1,20.0,2024-12-08T14:00:00Z,90,False,1,0,0,0,0,15,0,2519,1,1,1,0.0,4,-54,73,127,50,True,0
612,Maldini Kacurri,DEF,Arsenal,1.0,0,0,0,0,0.0,657,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,9,0,0,0,0,15,0,6791,0,1,1,0.0,0,-54,306,360,40,False,0
